New.ReferenceOTU1138	ERR2233252_1328135
New.ReferenceOTU1139	ERR2233248_1078455
New.ReferenceOTU1684	ERR2233230_132360
New.ReferenceOTU1685	ERR2233231_166964
New.ReferenceOTU1134	ERR2233258_1727116
New.ReferenceOTU1135	ERR2233251_1256363
New.ReferenceOTU1136	ERR2233310_4720322
New.ReferenceOTU1137	ERR2233268_2258645
New.ReferenceOTU1130	ERR2233274_2627089	ERR2233243_853322
New.ReferenceOTU1131	ERR2233262_1931098
New.ReferenceOTU1132	ERR2233273_2573807
New.ReferenceOTU1133	ERR2233256_1612524
New.ReferenceOTU1311	ERR2233229_11064
New.ReferenceOTU709	ERR2233321_5313205
New.ReferenceOTU708	ERR2233276_2739348
New.ReferenceOTU705	ERR2233248_1086806
New.ReferenceOTU704	ERR2233277_2788985
New.ReferenceOTU707	ERR2233245_946077
New.ReferenceOTU706	ERR2233230_102106
New.ReferenceOTU701	ERR2233279_2941861
New.ReferenceOTU700	ERR2233238_537779
New.ReferenceOTU703	ERR2233234_313778
New.ReferenceOTU702	ERR2233278_2852645
New.ReferenceOTU1358	ERR2233286_3374723
New.ReferenceOTU1359	ERR2233229_70445
New.ReferenceOTU1350	ERR2233231_146699
